iter	Passed	Remaining
1473	8712	3109
1474	8718	3103
1475	8724	3097
1476	8729	3091
1477	8735	3085
1478	8741	3079
1479	8747	3073
1480	8753	3067
1481	8758	3061
1482	8764	3055
1483	8770	3049
1484	8776	3043
1485	8782	3037
1486	8788	3031
1487	8794	3026
1488	8800	3020
1489	8805	3014
1490	8811	3008
1491	8817	3002
1492	8823	2996
1493	8829	2990
1494	8834	2984
1495	8840	2978
1496	8846	2972
1497	8852	2966
1498	8858	2960
1499	8864	2954
1500	8869	2948
1501	8875	2942
1502	8881	2936
1503	8886	2930
1504	8892	2924
1505	8898	2918
1506	8903	2912
1507	8909	2906
1508	8915	2900
1509	8921	2894
1510	8927	2889
1511	8932	2883
1512	8938	2877
1513	8944	2871
1514	8949	2865
1515	8955	2859
1516	8961	2853
1517	8967	2847
1518	8973	2841
1519	8978	2835
1520	8984	2829
1521	8990	2823
1522	8995	2817
1523	9001	2811
1524	9007	2805
1525	9013	2799
1526	9019	2793
1527	9025	2787
1528	9031	2781
1529	9036	2775
1530	9042	2770
1531	9050	2764
1532	9055	2758
1533	9061	2752
1534	9067	2746
1535	9072	2740
1536	9078	2734
1537	9084	2728
1538	9089	2722
1539	9095	2716
1540	9101	2710
1541	9107	2704
1542	9112	2699
1543	9118	2693
1544	9124	2687
1545	9129	2681
1546	9135	2675
1547	9141	2669
1548	9147	2663
1549	9152	2657
1550	9158	2651
1551	9164	2645
1552	9170	2639
1553	9176	2633
1554	9182	2627
1555	9189	2622
1556	9195	2616
1557	9201	2610
1558	9207	2604
1559	9213	2598
1560	9219	2592
1561	9225	2587
1562	9231	2581
1563	9237	2575
1564	9243	2569
1565	9248	2563
1566	9254	2557
1567	9260	2551
1568	9266	2545
1569	9272	2539
1570	9278	2533
1571	9284	2527
1572	9289	2521
1573	9295	2515
1574	9300	2509
1575	9306	2503
1576	9313	2498
1577	9319	2492
1578	9325	2486
1579	9331	2480
1580	9337	2474
1581	9342	2468
1582	9348	2462
1583	9354	2456
1584	9360	2450
1585	9365	2444
1586	9371	2438
1587	9378	2433
1588	9384	2427
1589	9390	2421
1590	9395	2415
1591	9401	2409
1592	9406	2403
1593	9412	2397
1594	9418	2391
1595	9424	2385
1596	9429	2379
1597	9435	2373
1598	9443	2368
1599	9449	2362
1600	9454	2356
1601	9460	2350
1602	9466	2344
1603	9477	2339
1604	9486	2334
1605	9495	2329
1606	9502	2323
1607	9508	2317
1608	9515	2312
1609	9521	2306
1610	9527	2300
1611	9533	2294
1612	9539	2288
1613	9545	2282
1614	9552	2277
1615	9558	2271
1616	9564	2265
1617	9570	2259
1618	9576	2253
1619	9582	2247
1620	9588	2241
1621	9594	2235
1622	9600	2229
1623	9605	2224
1624	9611	2218
1625	9617	2212
1626	9623	2206
1627	9629	2200
1628	9634	2194
1629	9640	2188
1630	9646	2182
1631	9652	2176
1632	9658	2170
1633	9664	2164
1634	9670	2158
1635	9676	2152
1636	9682	2147
1637	9687	2141
1638	9693	2135
1639	9699	2129
1640	9705	2123
1641	9711	2117
1642	9716	2111
1643	9722	2105
1644	9728	2099
1645	9734	2093
1646	9740	2087
1647	9746	2081
1648	9752	2075
1649	9758	2069
1650	9764	2064
1651	9770	2058
1652	9775	2052
